settlement_id,amount,status,utr,created_at,settled_at,linked_payment_ids,linked_refund_ids
SETL_0068,434690,settled,UTR_0068,2026-08-15,2026-08-16,"[""PAY_0068_00"", ""PAY_0068_01""]",[]
SETL_0069,394434,settled,UTR_0069,2026-08-15,2026-08-16,"[""PAY_0069_00"", ""PAY_0069_01"", ""PAY_0069_02""]",[]
SETL_0070,1017921,settled,UTR_0070,2026-08-15,2026-08-16,"[""PAY_0070_00"", ""PAY_0070_01"", ""PAY_0070_02"", ""PAY_0070_03""]",[]
SETL_0071,1124605,settled,UTR_0071,2026-08-15,2026-08-15,"[""PAY_0071_00"", ""PAY_0071_01"", ""PAY_0071_02"", ""PAY_0071_03""]",[]
SETL_0072,703669,settled,UTR_0072,2026-08-15,2026-08-15,"[""PAY_0072_00"", ""PAY_0072_01"", ""PAY_0072_02""]",[]
SETL_0073,1054211,settled,UTR_0073,2026-08-15,2026-08-16,"[""PAY_0073_00"", ""PAY_0073_01"", ""PAY_0073_02"", ""PAY_0073_03""]",[]
SETL_0074,787463,settled,UTR_0074,2026-08-15,2026-08-16,"[""PAY_0074_00"", ""PAY_0074_01""]",[]
SETL_0075,794116,settled,UTR_0075,2026-08-15,2026-08-16,"[""PAY_0075_00"", ""PAY_0075_01"", ""PAY_0075_02""]",[]
SETL_0076,1050883,settled,UTR_0076,2026-08-15,2026-08-15,"[""PAY_0076_00"", ""PAY_0076_01"", ""PAY_0076_02""]",[]
SETL_0077,272306,settled,UTR_0077,2026-08-15,2026-08-16,"[""PAY_0077_00"", ""PAY_0077_01""]",[]
SETL_0078,770083,settled,UTR_0078,2026-08-15,2026-08-16,"[""PAY_0078_00"", ""PAY_0078_01"", ""PAY_0078_02""]",[]
SETL_0079,1451048,settled,UTR_0079,2026-08-15,2026-08-16,"[""PAY_0079_00"", ""PAY_0079_01"", ""PAY_0079_02"", ""PAY_0079_03""]",[]
SETL_0080,1380305,settled,UTR_0080,2026-08-15,2026-08-15,"[""PAY_0080_00"", ""PAY_0080_01"", ""PAY_0080_02"", ""PAY_0080_03""]",[]
